Name,P1,P2,P6,P13,P14,P15,P16,P7,P8,P9,P10
DP 0,-12.262500000000001,2.901549958657467,110.0,7.0,8.0,8.0,9.0,,,,
DP 1,-12.262500000000001,2.901549958657467,110.0,9.0,10.0,10.0,11.0,,,,
DP 2,-12.262500000000001,2.901549958657467,110.0,11.0,12.0,12.0,13.0,,,,
DP 3,-12.262500000000001,2.901549958657467,110.0,13.0,14.0,14.0,15.0,,,,
DP 4,-12.262500000000001,2.901549958657467,110.0,15.0,16.0,16.0,17.0,,,,
DP 5,-12.262500000000001,2.901549958657467,110.0,17.0,18.0,18.0,19.0,,,,
DP 6,-12.262500000000001,2.901549958657467,110.0,19.0,20.0,20.0,21.0,,,,
DP 7,-12.262500000000001,2.901549958657467,70.0,7.0,8.0,8.0,9.0,,,,
DP 8,-12.262500000000001,2.901549958657467,70.0,9.0,10.0,10.0,11.0,,,,
DP 9,-12.262500000000001,2.901549958657467,70.0,11.0,12.0,12.0,13.0,,,,
DP 10,-12.262500000000001,2.901549958657467,70.0,13.0,14.0,14.0,15.0,,,,
DP 11,-12.262500000000001,2.901549958657467,70.0,15.0,16.0,16.0,17.0,,,,
DP 12,-12.262500000000001,2.901549958657467,70.0,17.0,18.0,18.0,19.0,,,,
DP 13,-12.262500000000001,2.901549958657467,70.0,19.0,20.0,20.0,21.0,,,,
DP 14,-12.262500000000001,2.901549958657467,30.0,7.0,8.0,8.0,9.0,,,,
DP 15,-12.262500000000001,2.901549958657467,30.0,9.0,10.0,10.0,11.0,,,,
DP 16,-12.262500000000001,2.901549958657467,30.0,11.0,12.0,12.0,13.0,,,,
DP 17,-12.262500000000001,2.901549958657467,30.0,13.0,14.0,14.0,15.0,,,,
DP 18,-12.262500000000001,2.901549958657467,30.0,15.0,16.0,16.0,17.0,,,,
DP 19,-12.262500000000001,2.901549958657467,30.0,17.0,18.0,18.0,19.0,,,,
DP 20,-12.262500000000001,2.901549958657467,30.0,19.0,20.0,20.0,21.0,,,,
DP 21,-12.262500000000001,2.901549958657467,-10.0,7.0,8.0,8.0,9.0,,,,
DP 22,-12.262500000000001,2.901549958657467,-10.0,9.0,10.0,10.0,11.0,,,,
DP 23,-12.262500000000001,2.901549958657467,-10.0,11.0,12.0,12.0,13.0,,,,
DP 24,-12.262500000000001,2.901549958657467,-10.0,13.0,14.0,14.0,15.0,,,,
DP 25,-12.262500000000001,2.901549958657467,-10.0,15.0,16.0,16.0,17.0,,,,
DP 26,-12.262500000000001,2.901549958657467,-10.0,17.0,18.0,18.0,19.0,,,,
DP 27,-12.262500000000001,2.901549958657467,-10.0,19.0,20.0,20.0,21.0,,,,
DP 28,-12.262500000000001,2.901549958657467,-50.0,7.0,8.0,8.0,9.0,,,,
DP 29,-12.262500000000001,2.901549958657467,-50.0,9.0,10.0,10.0,11.0,,,,
DP 30,-12.262500000000001,2.901549958657467,-50.0,11.0,12.0,12.0,13.0,,,,
DP 31,-12.262500000000001,2.901549958657467,-50.0,13.0,14.0,14.0,15.0,,,,
DP 32,-12.262500000000001,2.901549958657467,-50.0,15.0,16.0,16.0,17.0,,,,
DP 33,-12.262500000000001,2.901549958657467,-50.0,17.0,18.0,18.0,19.0,,,,
DP 34,-12.262500000000001,2.901549958657467,-50.0,19.0,20.0,20.0,21.0,,,,
DP 35,-193.13437500000003,45.69941184885511,110.0,7.0,8.0,8.0,9.0,,,,
DP 36,-193.13437500000003,45.69941184885511,110.0,9.0,10.0,10.0,11.0,,,,
DP 37,-193.13437500000003,45.69941184885511,110.0,11.0,12.0,12.0,13.0,,,,
DP 38,-193.13437500000003,45.69941184885511,110.0,13.0,14.0,14.0,15.0,,,,
DP 39,-193.13437500000003,45.69941184885511,110.0,15.0,16.0,16.0,17.0,,,,
DP 40,-193.13437500000003,45.69941184885511,110.0,17.0,18.0,18.0,19.0,,,,
DP 41,-193.13437500000003,45.69941184885511,110.0,19.0,20.0,20.0,21.0,,,,
DP 42,-193.13437500000003,45.69941184885511,70.0,7.0,8.0,8.0,9.0,,,,
DP 43,-193.13437500000003,45.69941184885511,70.0,9.0,10.0,10.0,11.0,,,,
DP 44,-193.13437500000003,45.69941184885511,70.0,11.0,12.0,12.0,13.0,,,,
DP 45,-193.13437500000003,45.69941184885511,70.0,13.0,14.0,14.0,15.0,,,,
DP 46,-193.13437500000003,45.69941184885511,70.0,15.0,16.0,16.0,17.0,,,,
DP 47,-193.13437500000003,45.69941184885511,70.0,17.0,18.0,18.0,19.0,,,,
DP 48,-193.13437500000003,45.69941184885511,70.0,19.0,20.0,20.0,21.0,,,,
DP 49,-193.13437500000003,45.69941184885511,30.0,7.0,8.0,8.0,9.0,,,,
DP 50,-193.13437500000003,45.69941184885511,30.0,9.0,10.0,10.0,11.0,,,,
DP 51,-193.13437500000003,45.69941184885511,30.0,11.0,12.0,12.0,13.0,,,,
DP 52,-193.13437500000003,45.69941184885511,30.0,13.0,14.0,14.0,15.0,,,,
DP 53,-193.13437500000003,45.69941184885511,30.0,15.0,16.0,16.0,17.0,,,,
DP 54,-193.13437500000003,45.69941184885511,30.0,17.0,18.0,18.0,19.0,,,,
DP 55,-193.13437500000003,45.69941184885511,30.0,19.0,20.0,20.0,21.0,,,,
