# Design Points of Design of Experiments;;;;;
# Custom;;;;;
# ;P1 - Force X Component (N);P2 - Moment Y Component (N m);P6 - Parameter 2 (mm);P7 - Deformation Probe 2 Minimum Z Axis (m);P8 - Deformation Probe Maximum Z Axis (m)
Name;P1;P2;P6;P7;P8
1;-200;30;-20;5.2235304792702664E-06;-4.7660591917519923E-06
2;-200;30;10;2.4538251182093518E-06;-1.9950616660935339E-06
3;-200;30;40;3.3212756989087211E-07;5.7432043831795454E-07
4;-200;30;70;-6.4745286181278061E-06;7.7972099461476319E-06
5;-200;30;100;-1.502656868979102E-05;1.1048209671571385E-05
6;-200;72.5;-20;-0.00015156027802731842;0.00015464967873413116
7;-200;72.5;10;-0.00014383932284545153;0.00014338488108478487
8;-200;72.5;40;-0.00013442168710753322;0.0001278286799788475
9;-200;72.5;70;-0.00012297590728849173;0.00011086364247603342
10;-200;72.5;100;-0.00012541998876258731;9.982746996684E-05
11;-200;115;-20;-0.00033118409919552505;0.0003316297079436481
12;-200;115;10;-0.00030109222279861569;0.00029571939376182854
13;-200;115;40;-0.00027109275106340647;0.00025452085537835956
14;-200;115;70;-0.0002396693016635254;0.00021421181736513972
15;-200;115;100;-0.00023445276019629091;0.000189895712537691
16;-200;157.5;-20;-0.00051078281830996275;0.00050866522360593081
17;-200;157.5;10;-0.00045822130050510168;0.00044816854642704129
18;-200;157.5;40;-0.00040778343100100756;0.00038124201819300652
19;-200;157.5;70;-0.00035531667526811361;0.00031847780337557197
20;-200;157.5;100;-0.00034337703255005181;0.00028003129409626126
21;-200;200;-20;-0.00069018953945487738;0.00068586412817239761
22;-200;200;10;-0.0006150929257273674;0.00060085195582360029
23;-200;200;40;-0.00054458162048831582;0.000507761025801301
24;-200;200;70;-0.00047179602552205324;0.00042199983727186918
25;-200;200;100;-0.000452631909865886;0.00036981271114200354
26;-150;30;-20;-1.0955673133139499E-05;1.4249958439904731E-05
27;-150;30;10;-1.7386697436450049E-05;2.0504681742750108E-05
28;-150;30;40;-2.2058962713344954E-05;2.3897822757135145E-05
29;-150;30;70;-2.5284891307819635E-05;2.3981485355761833E-05
30;-150;30;100;-3.1212119210977107E-05;2.3526195946033113E-05
31;-150;72.5;-20;-0.00019029965915251523;0.00019144992984365672
32;-150;72.5;10;-0.00017494471103418618;0.00017249338270630687
33;-150;72.5;40;-0.00015913171228021383;0.00014987657777965069
34;-150;72.5;70;-0.0001418396714143455;0.00012734757910948247
35;-150;72.5;100;-0.00014047205331735313;0.00011335202725604177
36;-150;115;-20;-0.00036990741500630975;0.00036846086732111871
37;-150;115;10;-0.00033195642754435539;0.00032501883106306195
38;-150;115;40;-0.00029543766868300736;0.00027684171800501645
39;-150;115;70;-0.0002580502477940172;0.00023113710631150752
40;-150;115;100;-0.00024938044953159988;0.00020354714069981128
41;-150;157.5;-20;-0.00054950453341007233;0.000545506423804909
42;-150;157.5;10;-0.000489137542899698;0.00047748105134814978
43;-150;157.5;40;-0.000432353321230039;0.00040336663369089365
44;-150;157.5;70;-0.00037457412690855563;0.000334620795911178
