# Design Points of Design of Experiments
# Custom
# ,P1 - Force X Component (N) ,P2 - Moment Y Component (N m) ,P6 - Parameter 2 (mm) ,P13 - inner_ID (mm) ,P14 - inner_OD (mm) ,P15 - outer_ID (mm) ,P16 - outer_OD (mm) ,P7 - Deformation Probe 2 Minimum Z Axis (m) ,P8 - Deformation Probe Maximum Z Axis (m) ,P9 - z_outer_below Maximum Z Axis (m) ,P10 - z_outer_top Minimum Z Axis (m) 
Name,P1,P2,P6,P13,P14,P15,P16,P7,P8,P9,P10
1,-5.886,3.1585439801555841,110,7,8,8,9,-1.4032761100679636E-05,1.2989546121389139E-05,6.4140604081330821E-06,-9.24685718928231E-06
2,-5.886,3.1585439801555841,110,9,10,10,11,-1.1007276953023393E-05,9.6775147540029138E-06,3.6548753996612504E-06,-6.071249572414672E-06
3,-5.886,3.1585439801555841,110,11,12,12,13,-9.5378081823582761E-06,7.8596158346044831E-06,2.205224063800415E-06,-4.4111120587331243E-06
4,-5.886,3.1585439801555841,110,13,14,14,15,-8.9060895334114321E-06,6.78712103763246E-06,1.3549306459026411E-06,-3.4245204005856067E-06
8,-5.886,3.1585439801555841,70,7,8,8,9,-1.95157354028197E-05,1.9571065422496758E-05,1.4586126781068742E-05,-1.7488071534899063E-05
9,-5.886,3.1585439801555841,70,9,10,10,11,-1.3987523743708152E-05,1.3524186215363443E-05,8.7999314928310923E-06,-1.1025087587768212E-05
10,-5.886,3.1585439801555841,70,11,12,12,13,-1.0794255103974137E-05,9.9872258942923509E-06,5.7895585996448062E-06,-7.5706602729042061E-06
11,-5.886,3.1585439801555841,70,13,14,14,15,-8.66820482769981E-06,7.8406956163235009E-06,4.0113532122632023E-06,-5.52376513951458E-06
15,-5.886,3.1585439801555841,30,7,8,8,9,-2.5064855435630307E-05,2.5435210773139261E-05,2.1913814634899609E-05,-2.48382129939273E-05
16,-5.886,3.1585439801555841,30,9,10,10,11,-1.7415619367966428E-05,1.7525690054753795E-05,1.33245594042819E-05,-1.5625886589987203E-05
17,-5.886,3.1585439801555841,30,11,12,12,13,-1.2995786164538004E-05,1.2897412489110138E-05,8.8448277892894112E-06,-1.0705897693696897E-05
18,-5.886,3.1585439801555841,30,13,14,14,15,-1.0229750841972418E-05,9.9272474471945316E-06,6.2414883359451778E-06,-7.7772210715920664E-06
22,-5.886,3.1585439801555841,-10,7,8,8,9,-3.00220290228026E-05,3.0502733352477662E-05,2.8392092644935474E-05,-3.1249575840774924E-05
23,-5.886,3.1585439801555841,-10,9,10,10,11,-2.0615641915355809E-05,2.0883197066723369E-05,1.7352638678858057E-05,-1.9613857148215175E-05
24,-5.886,3.1585439801555841,-10,11,12,12,13,-1.5179855836322531E-05,1.5305546185118146E-05,1.1560468010429759E-05,-1.342154064332135E-05
25,-5.886,3.1585439801555841,-10,13,14,14,15,-1.1750984413083643E-05,1.176771183963865E-05,8.1796279118862E-06,-9.7364427347201854E-06
29,-5.886,3.1585439801555841,-50,7,8,8,9,-3.42759994964581E-05,3.4873861295636743E-05,3.3987867936957628E-05,-3.6743960663443431E-05
30,-5.886,3.1585439801555841,-50,9,10,10,11,-2.3385919121210463E-05,2.3748249077470973E-05,2.0832463633269072E-05,-2.3022261302685365E-05
31,-5.886,3.1585439801555841,-50,11,12,12,13,-1.7095366274588741E-05,1.7331027265754528E-05,1.3919559933128767E-05,-1.5720272131147794E-05
32,-5.886,3.1585439801555841,-50,13,14,14,15,-1.3133423635736108E-05,1.3281494830152951E-05,9.8679638540488668E-06,-1.1391504813218489E-05
36,-92.70450000000001,49.747067687450453,110,7,8,8,9,-0.00022159046784508973,0.0002037458325503394,0.00010083201777888462,-0.00014552568609360605
37,-92.70450000000001,49.747067687450453,110,9,10,10,11,-0.00017376546747982502,0.00015181044000200927,5.7459059462416917E-05,-9.5540162874385715E-05
38,-92.70450000000001,49.747067687450453,110,11,12,12,13,-0.00015055874246172607,0.00012326095020398498,3.4655040508368984E-05,-6.9411886215675622E-05
39,-92.70450000000001,49.747067687450453,110,13,14,14,15,-0.00014057842781767249,0.00010638023377396166,2.1279491193126887E-05,-5.3892654250375926E-05
43,-92.70450000000001,49.747067687450453,70,7,8,8,9,-0.00030754070030525327,0.0003079339221585542,0.00022950442507863045,-0.00027547095669433475
44,-92.70450000000001,49.747067687450453,70,9,10,10,11,-0.00022043174249120057,0.00021279929205775261,0.00013848769594915211,-0.00017364753875881433
45,-92.70450000000001,49.747067687450453,70,11,12,12,13,-0.0001700921420706436,0.00015714573964942247,9.1113426606170833E-05,-0.00011921915574930608
46,-92.70450000000001,49.747067687450453,70,13,14,14,15,-0.00013662976562045515,0.000123352074297145,6.3133375078905374E-05,-8.6980922787915915E-05
50,-92.70450000000001,49.747067687450453,30,7,8,8,9,-0.00039491197094321251,0.000400325283408165,0.00034489843528717756,-0.00039126590127125382
51,-92.70450000000001,49.747067687450453,30,9,10,10,11,-0.00027439958648756146,0.00027585058705881238,0.00020973679784219712,-0.00024614270660094917
52,-92.70450000000001,49.747067687450453,30,11,12,12,13,-0.00020471736206673086,0.00020304395002312958,0.00013922899961471558,-0.00016862477059476078
53,-92.70450000000001,49.747067687450453,30,13,14,14,15,-0.00016114432946778834,0.00015627796528860927,9.82441270025447E-05,-0.00012248786515556276
57,-92.70450000000001,49.747067687450453,-10,7,8,8,9,-0.00047293520765379071,0.00048021270777098835,0.00044695634278468788,-0.00049225345719605684
58,-92.70450000000001,49.747067687450453,-10,9,10,10,11,-0.000324742344673723,0.00032878966885618865,0.00027318793581798673,-0.00030894481460563838
59,-92.70450000000001,49.747067687450453,-10,11,12,12,13,-0.00023910832533147186,0.0002409853768767789,0.0001820047473302111,-0.00021139712771400809
60,-92.70450000000001,49.747067687450453,-10,13,14,14,15,-0.00018508995708543807,0.00018529764201957732,0.00012878597772214562,-0.00015335017815232277
64,-92.70450000000001,49.747067687450453,-50,7,8,8,9,-0.00053993164328858256,0.00054907950107008219,0.00053511111764237285,-0.00057878752704709768
65,-92.70450000000001,49.747067687450453,-50,9,10,10,11,-0.00036836237995885313,0.00037395893014036119,0.00032803782960399985,-0.00036260741762816906
66,-92.70450000000001,49.747067687450453,-50,11,12,12,13,-0.00026926942518912256,0.00027290952857583761,0.00021918545826338232,-0.00024760005180723965
67,-92.70450000000001,49.747067687450453,-50,13,14,14,15,-0.00020688505901489407,0.00020914783817715943,0.00015539780724793673,-0.0001794348208932206
71,-179.52300000000002,96.335591394745336,110,7,8,8,9,-0.0004292009980417788,0.00039445864968001842,0.00019525745301507413,-0.00028181960806250572
72,-179.52300000000002,96.335591394745336,110,9,10,10,11,-0.00033656050800345838,0.00029393832664936781,0.00011127466132165864,-0.0001850188709795475
73,-179.52300000000002,96.335591394745336,110,11,12,12,13,-0.00029178199474699795,0.00023858477652538568,6.7117929575033486E-05,-0.00013443372154142708
74,-179.52300000000002,96.335591394745336,110,13,14,14,15,-0.00027229907573200762,0.00020593493536580354,4.1205861634807661E-05,-0.00010437814489705488
78,-179.52300000000002,96.335591394745336,70,7,8,8,9,-0.00059558014618232846,0.00059628614690154791,0.00044443862861953676,-0.00053344678599387407
79,-179.52300000000002,96.335591394745336,70,9,10,10,11,-0.00042681890772655606,0.000412113091442734,0.00026817264733836055,-0.00033627238008193672
80,-179.52300000000002,96.335591394745336,70,11,12,12,13,-0.00032942532561719418,0.00030426849843934178,0.00017644207400735468,-0.00023086488363333046
81,-179.52300000000002,96.335591394745336,70,13,14,14,15,-0.00026471749879419804,0.00023875288025010377,0.00012225993850734085,-0.00016845653590280563
85,-179.52300000000002,96.335591394745336,30,7,8,8,9,-0.00076473323861137033,0.00077526579843834043,0.00066790211712941527,-0.00075769831892102957
86,-179.52300000000002,96.335591394745336,30,9,10,10,11,-0.00053137668874114752,0.00053418666357174516,0.00040617145714350045,-0.00047663948498666286
87,-179.52300000000002,96.335591394745336,30,11,12,12,13,-0.00039647083031013608,0.00039316620677709579,0.00026962265837937593,-0.00032654532697051764
88,-179.52300000000002,96.335591394745336,30,13,14,14,15,-0.00031201858655549586,0.00030266525573097169,0.00019024801440536976,-0.00023719730961602181
92,-179.52300000000002,96.335591394745336,-10,7,8,8,9,-0.00091590051306411624,0.00092987640528008342,0.00086549052502959967,-0.00095328222960233688
93,-179.52300000000002,96.335591394745336,-10,9,10,10,11,-0.00062887329841032624,0.00063669728115201,0.00052900885930284858,-0.00059829180827364326
94,-179.52300000000002,96.335591394745336,-10,11,12,12,13,-0.000463086471427232,0.000466628436697647,0.00035244692116975784,-0.00040938987513072789
95,-179.52300000000002,96.335591394745336,-10,13,14,14,15,-0.00035847516846843064,0.00035876446054317057,0.00024935512919910252,-0.00029698331491090357
