# 
# 03/16/2025 21:23:47
# The parameters defined in the project are:
# ,P1 - Force X Component [N],P2 - Moment Y Component [N m],P6 - Parameter 2 [mm],P7 - Deformation Probe 2 Minimum Z Axis [m],P8 - Deformation Probe Maximum Z Axis [m]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P6,P7,P8
DP 0,-50,50,0,,
DP 1,-100,50,0,,
DP 2,-150,50,0,,
DP 3,-200,50,0,,
DP 4,0,50,0,,
DP 5,-50,60,0,,
DP 6,-100,60,0,,
DP 7,-150,60,0,,
DP 8,-200,60,0,,
DP 9,0,60,0,,
DP 10,-50,80,0,,
DP 11,-100,80,0,,
DP 12,-150,80,0,,
DP 13,-200,80,0,,
DP 14,0,80,0,,
DP 15,-50,70,0,,
DP 16,-100,70,0,,
DP 17,-150,70,0,,
DP 18,-200,70,0,,
DP 19,0,70,0,,
DP 20,-50,90,0,,
DP 21,-100,90,0,,
DP 22,-150,90,0,,
DP 23,-200,90,0,,
DP 24,0,90,0,,
DP 25,-50,100,0,,
DP 26,-100,100,0,,
DP 27,-150,100,0,,
DP 28,-200,100,0,,
DP 29,0,100,0,,
DP 30,-50,50,0,,
DP 31,-50,50,0,,
