S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.	8.e-002	2.2868e-002	0.	5.7209e+005
4.9673e-004	8.e-002	2.2371e-002	0.	5481.1
9.9347e-004	8.e-002	2.1874e-002	0.	2259.6
1.4902e-003	8.e-002	2.1377e-002	0.	1118.7
1.9869e-003	8.e-002	2.0881e-002	0.	508.09
2.4837e-003	8.e-002	2.0384e-002	0.	142.93
2.9804e-003	8.e-002	1.9887e-002	0.	-65.676
3.4771e-003	8.e-002	1.939e-002	0.	-171.78
3.9739e-003	8.e-002	1.8894e-002	0.	-215.09
4.4706e-003	8.e-002	1.8397e-002	0.	-223.5
4.9673e-003	8.e-002	1.79e-002	0.	-214.97
5.4641e-003	8.e-002	1.7404e-002	0.	-200.
5.9608e-003	8.e-002	1.6907e-002	0.	-184.06
6.4575e-003	8.e-002	1.641e-002	0.	-169.49
6.9543e-003	8.e-002	1.5913e-002	0.	-156.99
7.451e-003	8.e-002	1.5417e-002	0.	-146.43
7.9477e-003	8.e-002	1.492e-002	0.	-137.41
8.4445e-003	8.e-002	1.4423e-002	0.	-129.51
8.9412e-003	8.e-002	1.3926e-002	0.	-122.39
9.4379e-003	8.e-002	1.343e-002	0.	-115.81
9.9347e-003	8.e-002	1.2933e-002	0.	-109.63
1.0431e-002	8.e-002	1.2436e-002	0.	-103.78
1.0928e-002	8.e-002	1.1939e-002	0.	-98.207
1.1425e-002	8.e-002	1.1443e-002	0.	-92.906
1.1922e-002	8.e-002	1.0946e-002	0.	-87.867
1.2418e-002	8.e-002	1.0449e-002	0.	-83.086
1.2915e-002	8.e-002	9.9525e-003	0.	-78.555
1.3412e-002	8.e-002	9.4558e-003	0.	-74.264
1.3909e-002	8.e-002	8.9591e-003	0.	-70.201
1.4405e-002	8.e-002	8.4623e-003	0.	-66.35
1.4902e-002	8.e-002	7.9656e-003	0.	-62.691
1.5399e-002	8.e-002	7.4689e-003	0.	-59.207
1.5895e-002	8.e-002	6.9721e-003	0.	-55.876
1.6392e-002	8.e-002	6.4754e-003	0.	-52.676
1.6889e-002	8.e-002	5.9787e-003	0.	-49.585
1.7386e-002	8.e-002	5.4819e-003	0.	-46.581
1.7882e-002	8.e-002	4.9852e-003	0.	-43.639
1.8379e-002	8.e-002	4.4885e-003	0.	-40.737
1.8876e-002	8.e-002	3.9917e-003	0.	-37.849
1.9373e-002	8.e-002	3.495e-003	0.	-34.951
1.9869e-002	8.e-002	2.9983e-003	0.	-32.017
2.0366e-002	8.e-002	2.5015e-003	0.	-29.023
2.0863e-002	8.e-002	2.0048e-003	0.	-25.941
2.136e-002	8.e-002	1.5081e-003	0.	-22.747
2.1856e-002	8.e-002	1.0113e-003	0.	-19.416
2.2353e-002	8.e-002	5.146e-004	0.	-15.924
2.285e-002	8.e-002	1.7872e-005	0.	-12.251
2.3346e-002	8.e-002	-4.7886e-004	0.	-8.3802
2.3843e-002	8.e-002	-9.7559e-004	0.	-4.3012
2.434e-002	8.e-002	-1.4723e-003	0.	-1.4269e-002
2.4837e-002	8.e-002	-1.9691e-003	0.	4.4666
2.5333e-002	8.e-002	-2.4658e-003	0.	9.1077
2.583e-002	8.e-002	-2.9625e-003	0.	13.849
2.6327e-002	8.e-002	-3.4593e-003	0.	18.597
2.6824e-002	8.e-002	-3.956e-003	0.	23.216
2.732e-002	8.e-002	-4.4527e-003	0.	27.518
2.7817e-002	8.e-002	-4.9495e-003	0.	31.261
2.8314e-002	8.e-002	-5.4462e-003	0.	34.139
2.881e-002	8.e-002	-5.9429e-003	0.	35.783
2.9307e-002	8.e-002	-6.4397e-003	0.	35.763
2.9804e-002	8.e-002	-6.9364e-003	0.	33.575
3.0301e-002	8.e-002	-7.4331e-003	0.	28.637
3.0797e-002	8.e-002	-7.9299e-003	0.	20.25
3.1294e-002	8.e-002	-8.4266e-003	0.	7.5204
3.1791e-002	8.e-002	-8.9233e-003	0.	-10.962
3.2288e-002	8.e-002	-9.42e-003	0.	-39.393
3.2784e-002	8.e-002	-9.9168e-003	0.	-101.13
3.3281e-002	8.e-002	-1.0414e-002	0.	-348.27
3.3778e-002	8.e-002	-1.091e-002	0.	-1757.4
3.4275e-002	8.e-002	-1.1407e-002	0.	-4.4321e+005
