S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.	8.e-002	2.2868e-002	0.	5.3308e+005
4.9673e-004	8.e-002	2.2371e-002	0.	9.8837e+005
9.9347e-004	8.e-002	2.1874e-002	0.	9.9625e+005
1.4902e-003	8.e-002	2.1377e-002	0.	1.0032e+006
1.9869e-003	8.e-002	2.0881e-002	0.	1.0098e+006
2.4837e-003	8.e-002	2.0384e-002	0.	1.0162e+006
2.9804e-003	8.e-002	1.9887e-002	0.	1.0222e+006
3.4771e-003	8.e-002	1.939e-002	0.	1.0281e+006
3.9739e-003	8.e-002	1.8894e-002	0.	1.0336e+006
4.4706e-003	8.e-002	1.8397e-002	0.	1.039e+006
4.9673e-003	8.e-002	1.79e-002	0.	1.0441e+006
5.4641e-003	8.e-002	1.7404e-002	0.	1.049e+006
5.9608e-003	8.e-002	1.6907e-002	0.	1.0537e+006
6.4575e-003	8.e-002	1.641e-002	0.	1.0582e+006
6.9543e-003	8.e-002	1.5913e-002	0.	1.0625e+006
7.451e-003	8.e-002	1.5417e-002	0.	1.0666e+006
7.9477e-003	8.e-002	1.492e-002	0.	1.0705e+006
8.4445e-003	8.e-002	1.4423e-002	0.	1.0742e+006
8.9412e-003	8.e-002	1.3926e-002	0.	1.0777e+006
9.4379e-003	8.e-002	1.343e-002	0.	1.081e+006
9.9347e-003	8.e-002	1.2933e-002	0.	1.0841e+006
1.0431e-002	8.e-002	1.2436e-002	0.	1.087e+006
1.0928e-002	8.e-002	1.1939e-002	0.	1.0897e+006
1.1425e-002	8.e-002	1.1443e-002	0.	1.0922e+006
1.1922e-002	8.e-002	1.0946e-002	0.	1.0945e+006
1.2418e-002	8.e-002	1.0449e-002	0.	1.0967e+006
1.2915e-002	8.e-002	9.9525e-003	0.	1.0986e+006
1.3412e-002	8.e-002	9.4558e-003	0.	1.1004e+006
1.3909e-002	8.e-002	8.9591e-003	0.	1.1019e+006
1.4405e-002	8.e-002	8.4623e-003	0.	1.1033e+006
1.4902e-002	8.e-002	7.9656e-003	0.	1.1044e+006
1.5399e-002	8.e-002	7.4689e-003	0.	1.1054e+006
1.5895e-002	8.e-002	6.9721e-003	0.	1.1062e+006
1.6392e-002	8.e-002	6.4754e-003	0.	1.1068e+006
1.6889e-002	8.e-002	5.9787e-003	0.	1.1072e+006
1.7386e-002	8.e-002	5.4819e-003	0.	1.1074e+006
1.7882e-002	8.e-002	4.9852e-003	0.	1.1074e+006
1.8379e-002	8.e-002	4.4885e-003	0.	1.1072e+006
1.8876e-002	8.e-002	3.9917e-003	0.	1.1068e+006
1.9373e-002	8.e-002	3.495e-003	0.	1.1063e+006
1.9869e-002	8.e-002	2.9983e-003	0.	1.1055e+006
2.0366e-002	8.e-002	2.5015e-003	0.	1.1046e+006
2.0863e-002	8.e-002	2.0048e-003	0.	1.1034e+006
2.136e-002	8.e-002	1.5081e-003	0.	1.1021e+006
2.1856e-002	8.e-002	1.0113e-003	0.	1.1006e+006
2.2353e-002	8.e-002	5.146e-004	0.	1.0988e+006
2.285e-002	8.e-002	1.7872e-005	0.	1.0969e+006
2.3346e-002	8.e-002	-4.7886e-004	0.	1.0948e+006
2.3843e-002	8.e-002	-9.7559e-004	0.	1.0925e+006
2.434e-002	8.e-002	-1.4723e-003	0.	1.09e+006
2.4837e-002	8.e-002	-1.9691e-003	0.	1.0873e+006
2.5333e-002	8.e-002	-2.4658e-003	0.	1.0844e+006
2.583e-002	8.e-002	-2.9625e-003	0.	1.0813e+006
2.6327e-002	8.e-002	-3.4593e-003	0.	1.0781e+006
2.6824e-002	8.e-002	-3.956e-003	0.	1.0746e+006
2.732e-002	8.e-002	-4.4527e-003	0.	1.0709e+006
2.7817e-002	8.e-002	-4.9495e-003	0.	1.067e+006
2.8314e-002	8.e-002	-5.4462e-003	0.	1.063e+006
2.881e-002	8.e-002	-5.9429e-003	0.	1.0587e+006
2.9307e-002	8.e-002	-6.4397e-003	0.	1.0542e+006
2.9804e-002	8.e-002	-6.9364e-003	0.	1.0495e+006
3.0301e-002	8.e-002	-7.4331e-003	0.	1.0446e+006
3.0797e-002	8.e-002	-7.9299e-003	0.	1.0395e+006
3.1294e-002	8.e-002	-8.4266e-003	0.	1.0341e+006
3.1791e-002	8.e-002	-8.9233e-003	0.	1.0285e+006
3.2288e-002	8.e-002	-9.42e-003	0.	1.0228e+006
3.2784e-002	8.e-002	-9.9168e-003	0.	1.0167e+006
3.3281e-002	8.e-002	-1.0414e-002	0.	1.0107e+006
3.3778e-002	8.e-002	-1.091e-002	0.	1.0044e+006
3.4275e-002	8.e-002	-1.1407e-002	0.	4.9601e+005
