S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.	0.20016	2.0397e-002	0.	-2.914e+005
4.986e-004	0.20016	1.9899e-002	0.	-384.27
9.9721e-004	0.20016	1.94e-002	0.	-100.87
1.4958e-003	0.20016	1.8902e-002	0.	-52.125
1.9944e-003	0.20016	1.8403e-002	0.	-42.01
2.493e-003	0.20016	1.7904e-002	0.	-38.354
2.9916e-003	0.20016	1.7406e-002	0.	-35.864
3.4902e-003	0.20016	1.6907e-002	0.	-33.651
3.9888e-003	0.20016	1.6409e-002	0.	-31.548
4.4874e-003	0.20016	1.591e-002	0.	-29.51
4.986e-003	0.20016	1.5411e-002	0.	-27.518
5.4846e-003	0.20016	1.4913e-002	0.	-25.558
5.9832e-003	0.20016	1.4414e-002	0.	-23.623
6.4818e-003	0.20016	1.3916e-002	0.	-21.706
6.9804e-003	0.20016	1.3417e-002	0.	-19.803
7.479e-003	0.20016	1.2918e-002	0.	-17.912
7.9776e-003	0.20016	1.242e-002	0.	-16.029
8.4762e-003	0.20016	1.1921e-002	0.	-14.153
8.9748e-003	0.20016	1.1423e-002	0.	-12.281
9.4735e-003	0.20016	1.0924e-002	0.	-10.401
9.9721e-003	0.20016	1.0425e-002	0.	-8.4673
1.0471e-002	0.20016	9.9268e-003	0.	-6.5859
1.0969e-002	0.20016	9.4282e-003	0.	-4.7938
1.1468e-002	0.20016	8.9296e-003	0.	-2.9593
1.1966e-002	0.20016	8.4309e-003	0.	-1.143
1.2465e-002	0.20016	7.9323e-003	0.	0.76177
1.2964e-002	0.20016	7.4337e-003	0.	2.5972
1.3462e-002	0.20016	6.9351e-003	0.	4.4293
1.3961e-002	0.20016	6.4365e-003	0.	6.3187
1.4459e-002	0.20016	5.9379e-003	0.	8.1852
1.4958e-002	0.20016	5.4393e-003	0.	9.9878
1.5457e-002	0.20016	4.9407e-003	0.	11.811
1.5955e-002	0.20016	4.4421e-003	0.	13.697
1.6454e-002	0.20016	3.9435e-003	0.	15.57
1.6952e-002	0.20016	3.4449e-003	0.	17.419
1.7451e-002	0.20016	2.9463e-003	0.	19.261
1.795e-002	0.20016	2.4477e-003	0.	21.092
1.8448e-002	0.20016	1.9491e-003	0.	22.875
1.8947e-002	0.20016	1.4505e-003	0.	24.74
1.9446e-002	0.20016	9.5191e-004	0.	26.613
1.9944e-002	0.20016	4.5331e-004	0.	28.438
2.0443e-002	0.20016	-4.5298e-005	0.	30.278
2.0941e-002	0.20016	-5.439e-004	0.	32.145
2.144e-002	0.20016	-1.0425e-003	0.	33.987
2.1939e-002	0.20016	-1.5411e-003	0.	35.757
2.2437e-002	0.20016	-2.0397e-003	0.	37.581
2.2936e-002	0.20016	-2.5383e-003	0.	39.501
2.3434e-002	0.20016	-3.0369e-003	0.	41.363
2.3933e-002	0.20016	-3.5355e-003	0.	43.127
2.4432e-002	0.20016	-4.0341e-003	0.	44.952
2.493e-002	0.20016	-4.5327e-003	0.	46.875
2.5429e-002	0.20016	-5.0313e-003	0.	48.747
2.5927e-002	0.20016	-5.5299e-003	0.	50.894
2.6426e-002	0.20016	-6.0285e-003	0.	54.806
2.6925e-002	0.20016	-6.5271e-003	0.	69.126
2.7423e-002	0.20016	-7.0257e-003	0.	146.63
2.7922e-002	0.20016	-7.5243e-003	0.	2.4873e+005
