S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.	0.20016	2.0397e-002	0.	4.9766e+005
4.986e-004	0.20016	1.9899e-002	0.	9.5058e+005
9.9721e-004	0.20016	1.94e-002	0.	9.569e+005
1.4958e-003	0.20016	1.8902e-002	0.	9.6247e+005
1.9944e-003	0.20016	1.8403e-002	0.	9.68e+005
2.493e-003	0.20016	1.7904e-002	0.	9.7329e+005
2.9916e-003	0.20016	1.7406e-002	0.	9.7839e+005
3.4902e-003	0.20016	1.6907e-002	0.	9.833e+005
3.9888e-003	0.20016	1.6409e-002	0.	9.8801e+005
4.4874e-003	0.20016	1.591e-002	0.	9.9253e+005
4.986e-003	0.20016	1.5411e-002	0.	9.9685e+005
5.4846e-003	0.20016	1.4913e-002	0.	1.001e+006
5.9832e-003	0.20016	1.4414e-002	0.	1.0049e+006
6.4818e-003	0.20016	1.3916e-002	0.	1.0086e+006
6.9804e-003	0.20016	1.3417e-002	0.	1.0122e+006
7.479e-003	0.20016	1.2918e-002	0.	1.0155e+006
7.9776e-003	0.20016	1.242e-002	0.	1.0187e+006
8.4762e-003	0.20016	1.1921e-002	0.	1.0216e+006
8.9748e-003	0.20016	1.1423e-002	0.	1.0244e+006
9.4735e-003	0.20016	1.0924e-002	0.	1.0269e+006
9.9721e-003	0.20016	1.0425e-002	0.	1.0293e+006
1.0471e-002	0.20016	9.9268e-003	0.	1.0315e+006
1.0969e-002	0.20016	9.4282e-003	0.	1.0334e+006
1.1468e-002	0.20016	8.9296e-003	0.	1.0352e+006
1.1966e-002	0.20016	8.4309e-003	0.	1.0368e+006
1.2465e-002	0.20016	7.9323e-003	0.	1.0382e+006
1.2964e-002	0.20016	7.4337e-003	0.	1.0394e+006
1.3462e-002	0.20016	6.9351e-003	0.	1.0403e+006
1.3961e-002	0.20016	6.4365e-003	0.	1.0411e+006
1.4459e-002	0.20016	5.9379e-003	0.	1.0417e+006
1.4958e-002	0.20016	5.4393e-003	0.	1.0422e+006
1.5457e-002	0.20016	4.9407e-003	0.	1.0424e+006
1.5955e-002	0.20016	4.4421e-003	0.	1.0424e+006
1.6454e-002	0.20016	3.9435e-003	0.	1.0422e+006
1.6952e-002	0.20016	3.4449e-003	0.	1.0418e+006
1.7451e-002	0.20016	2.9463e-003	0.	1.0413e+006
1.795e-002	0.20016	2.4477e-003	0.	1.0405e+006
1.8448e-002	0.20016	1.9491e-003	0.	1.0395e+006
1.8947e-002	0.20016	1.4505e-003	0.	1.0384e+006
1.9446e-002	0.20016	9.5191e-004	0.	1.037e+006
1.9944e-002	0.20016	4.5331e-004	0.	1.0355e+006
2.0443e-002	0.20016	-4.5298e-005	0.	1.0337e+006
2.0941e-002	0.20016	-5.439e-004	0.	1.0318e+006
2.144e-002	0.20016	-1.0425e-003	0.	1.0296e+006
2.1939e-002	0.20016	-1.5411e-003	0.	1.0273e+006
2.2437e-002	0.20016	-2.0397e-003	0.	1.0248e+006
2.2936e-002	0.20016	-2.5383e-003	0.	1.0221e+006
2.3434e-002	0.20016	-3.0369e-003	0.	1.0191e+006
2.3933e-002	0.20016	-3.5355e-003	0.	1.016e+006
2.4432e-002	0.20016	-4.0341e-003	0.	1.0127e+006
2.493e-002	0.20016	-4.5327e-003	0.	1.0092e+006
2.5429e-002	0.20016	-5.0313e-003	0.	1.0055e+006
2.5927e-002	0.20016	-5.5299e-003	0.	1.0016e+006
2.6426e-002	0.20016	-6.0285e-003	0.	9.9749e+005
2.6925e-002	0.20016	-6.5271e-003	0.	9.9332e+005
2.7423e-002	0.20016	-7.0257e-003	0.	9.8838e+005
2.7922e-002	0.20016	-7.5243e-003	0.	5.0463e+005
