S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.	0.20016	-7.5243e-003	0.	2.4873e+005
1.4843e-003	0.19868	-7.5919e-003	0.	4.8992e+005
2.9687e-003	0.1972	-7.6593e-003	0.	4.7568e+005
4.453e-003	0.19572	-7.7264e-003	0.	4.6122e+005
5.9374e-003	0.19423	-7.7933e-003	0.	4.4671e+005
7.4217e-003	0.19275	-7.8598e-003	0.	4.3211e+005
8.906e-003	0.19127	-7.9261e-003	0.	4.1742e+005
1.039e-002	0.18978	-7.9921e-003	0.	4.0265e+005
1.1875e-002	0.1883	-8.0578e-003	0.	3.878e+005
1.3359e-002	0.18682	-8.1231e-003	0.	3.7286e+005
1.4843e-002	0.18534	-8.1882e-003	0.	3.5784e+005
1.6328e-002	0.18385	-8.2528e-003	0.	3.4273e+005
1.7812e-002	0.18237	-8.3172e-003	0.	3.2754e+005
1.9296e-002	0.18089	-8.3811e-003	0.	3.1228e+005
2.0781e-002	0.1794	-8.4447e-003	0.	2.9692e+005
2.2265e-002	0.17792	-8.5078e-003	0.	2.8149e+005
2.3749e-002	0.17644	-8.5705e-003	0.	2.6598e+005
2.5234e-002	0.17495	-8.6327e-003	0.	2.5039e+005
2.6718e-002	0.17347	-8.6945e-003	0.	2.3471e+005
2.8202e-002	0.17199	-8.7558e-003	0.	2.1896e+005
2.9687e-002	0.17051	-8.8165e-003	0.	2.0313e+005
3.1171e-002	0.16902	-8.8767e-003	0.	1.8722e+005
3.2656e-002	0.16754	-8.9363e-003	0.	1.7123e+005
3.414e-002	0.16606	-8.9954e-003	0.	1.5517e+005
3.5624e-002	0.16457	-9.0538e-003	0.	1.3903e+005
3.7109e-002	0.16309	-9.1116e-003	0.	1.2282e+005
3.8593e-002	0.16161	-9.1688e-003	0.	1.0653e+005
4.0077e-002	0.16012	-9.2253e-003	0.	90163
4.1562e-002	0.15864	-9.2812e-003	0.	73726
4.3046e-002	0.15716	-9.3364e-003	0.	57216
4.453e-002	0.15567	-9.391e-003	0.	40636
4.6015e-002	0.15419	-9.4449e-003	0.	23983
4.7499e-002	0.15271	-9.4982e-003	0.	7260.9
4.8983e-002	0.15122	-9.5508e-003	0.	-9531.
5.0468e-002	0.14974	-9.6028e-003	0.	-26391
5.1952e-002	0.14826	-9.6541e-003	0.	-43320
5.3436e-002	0.14677	-9.7049e-003	0.	-60316
5.4921e-002	0.14529	-9.7551e-003	0.	-77378
5.6405e-002	0.14381	-9.8047e-003	0.	-94506
5.7889e-002	0.14232	-9.8538e-003	0.	-1.117e+005
5.9374e-002	0.14084	-9.9023e-003	0.	-1.2896e+005
6.0858e-002	0.13935	-9.9503e-003	0.	-1.4628e+005
6.2342e-002	0.13787	-9.9978e-003	0.	-1.6366e+005
6.3827e-002	0.13639	-1.0045e-002	0.	-1.8111e+005
6.5311e-002	0.1349	-1.0091e-002	0.	-1.9862e+005
6.6795e-002	0.13342	-1.0138e-002	0.	-2.1619e+005
6.828e-002	0.13194	-1.0183e-002	0.	-2.3383e+005
6.9764e-002	0.13045	-1.0229e-002	0.	-2.5152e+005
7.1248e-002	0.12897	-1.0274e-002	0.	-2.6927e+005
7.2733e-002	0.12749	-1.0318e-002	0.	-2.8709e+005
7.4217e-002	0.126	-1.0362e-002	0.	-3.0496e+005
7.5701e-002	0.12452	-1.0406e-002	0.	-3.2289e+005
7.7186e-002	0.12303	-1.045e-002	0.	-3.4088e+005
7.867e-002	0.12155	-1.0493e-002	0.	-3.5893e+005
8.0154e-002	0.12007	-1.0536e-002	0.	-3.7704e+005
8.1639e-002	0.11858	-1.0578e-002	0.	-3.952e+005
8.3123e-002	0.1171	-1.062e-002	0.	-4.1342e+005
8.4607e-002	0.11562	-1.0662e-002	0.	-4.317e+005
8.6092e-002	0.11413	-1.0704e-002	0.	-4.5003e+005
8.7576e-002	0.11265	-1.0745e-002	0.	-4.6842e+005
8.906e-002	0.11116	-1.0785e-002	0.	-4.8687e+005
